ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
1,,45,,341,358,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
2,,63,,103,108,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
3,,22,,15,16,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
4,,48,,9,9,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
5,,290,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
6,,109,,1,1,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
7,24231168.0,20,14774641.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
8,,59,,235,253,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
9,,38,,14,14,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
10,,117,,4,4,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
11,,332,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
12,,53,,7,7,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
13,,13,,141,143,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
14,,250,,12,12,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
15,83720000.0,158,61146076.0,4,4,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
16,,319,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
17,,162,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
18,,17,,1,1,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
19,453409414.0,82,345569291.0,86,93,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
20,831887355.0,70,387293236.0,150,171,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
21,,90,,12,15,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
22,,220,,8,8,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
23,168720000.0,117,47151818.0,10,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
24,,8,,362,373,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
25,,120,,117,119,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
26,,263,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
27,,99,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
28,,85,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
29,,108,,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
30,,246,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
31,,110,,3,5,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
32,32232454.0,18,17549307.0,4,9,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
33,,24,,816,834,67,A05,F,2020-01-16,2020-01-27 10:49:48.15
34,,68,,120,124,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
35,576095264.0,63,303150068.0,121,133,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
36,,10,,584,619,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
37,,12,,187,188,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
38,528879411.0,55,247015482.0,121,130,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
39,495312777.0,53,241139067.0,108,124,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
40,,35,,701,719,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
41,,57,,156,171,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
42,,172,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
43,,78,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
44,6708421243.0,84,5932713631.0,1478,1572,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
45,,24,,2615,2754,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
46,,40,,256,273,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
47,,62,,91,100,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
48,832905587.0,64,365672775.0,170,194,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
49,210263168.0,92,85101641.0,18,20,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
50,,14,,123,128,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
51,,11,,266,272,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
52,,83,,8,8,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
53,,352,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
54,,5,,113,113,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
55,,9,,66,67,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
56,112005000.0,191,64638600.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
57,,68,,527,611,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
58,,72,,207,224,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
59,,15,,24,25,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
60,,21,,12,12,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
61,,51,,142,152,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
62,,93,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
63,,284,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
64,501840153.0,50,250849962.0,104,123,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
65,100304799.0,30,41771922.0,24,27,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
66,,56,,152,172,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
67,,69,,532,628,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
68,,170,,3,3,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
69,,18,,589,594,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
70,,67,,168,219,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
71,,46,,225,235,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
72,,88,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
73,,267,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
74,,331,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
75,,164,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
76,185373758.0,37,73014298.0,40,49,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
77,87190000.0,160,42605744.0,5,6,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
78,,14,,1047,1084,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
79,,23,,110,118,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
80,,66,,691,822,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
81,,2,,53,57,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
82,,134,,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
83,,232,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
84,,259,,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
85,219317484.0,46,97030218.0,44,50,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
86,,6,,28322,33636,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
87,,6,,395,634,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
88,,80,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
89,,324,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
90,98580000.0,124,44417586.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
91,,115,,6,8,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
92,,160,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
93,,261,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
94,,23,,2,2,67,A05,F,2020-01-16,2020-01-27 10:49:48.15
95,,308,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
96,,7,,430,438,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
97,,333,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
98,,181,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
99,,24,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
100,,100,,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
101,,34,,159,161,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
102,,19,,457,470,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
103,,312,,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
104,,156,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
105,,341,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
106,,62,,3,3,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
107,,248,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
108,71855000.0,161,50496895.0,5,5,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
109,215600000.0,154,142200674.0,3,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
110,,36,,7196,7357,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
111,,26,,224,233,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
112,,14,,10,10,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
113,,318,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
114,640162138.0,76,486123421.0,118,126,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
115,238085736.0,94,100766735.0,19,20,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
116,,9,,2419,2500,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
117,,55,,652,709,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
118,,18,,212,214,67,A05,F,2020-01-16,2020-01-27 10:49:48.15
119,,66,,115,128,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
120,,65,,101,105,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
121,,101,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
122,,282,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
123,49800000.0,115,8972172.0,5,6,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
124,193720000.0,136,49314041.0,13,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
125,,274,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
126,622308846.0,52,300776070.0,109,140,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
127,,50,,449,476,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
128,,174,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
129,,25,,2,2,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
130,120410000.0,134,64562028.0,9,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
131,189262470.0,104,48009094.0,12,12,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
132,,58,,349,408,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
133,,147,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
134,,79,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
135,104989494.0,25,56013999.0,28,30,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
136,,47,,379,405,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
137,,43,,129,138,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
138,,14,,7,8,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
139,477875938.0,78,341986095.0,77,87,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
140,,28,,880,947,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
141,,188,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
142,,93,,5,5,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
143,,108,,2,8,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
144,333750000.0,131,115030812.0,16,24,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
145,59662071.0,35,16620648.0,11,13,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
146,,300,,269,269,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
147,,84,,101,132,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
148,,19,,3,3,67,A05,F,2020-01-16,2020-01-27 10:49:48.15
149,,82,,2,2,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
150,,171,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
151,,85,,205,243,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
152,,13,,8,8,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
153,,34,,232,241,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
154,,114,,5,15,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
155,274155000.0,142,112552807.0,17,21,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
156,,57,,564,649,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
157,,49,,123,131,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
158,,84,,1815,2469,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
159,,258,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
160,,239,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
161,,60,,309,331,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
162,,340,,8,8,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
163,,50,,323,347,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
164,,303,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
165,202070000.0,165,146942161.0,9,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
