ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
304,,49,,910,1002,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
305,,245,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
306,,92,,7,7,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
307,,334,,9,9,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
308,,12,,16862,17989,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
309,,11,,112,122,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
310,,70,,397,432,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
311,,73,,9,9,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
312,,129,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
313,151980000.0,114,25263737.0,11,11,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
314,,9,,7,7,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
315,,19,,8,9,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
316,,41,,5,5,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
317,550827723.0,67,262709595.0,100,120,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
318,,72,,37316,48231,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
319,,81,,14,14,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
320,,255,,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
321,,18,,27,28,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
322,,7,,59,71,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
323,,25,,15,15,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
324,20540000.0,149,17919959.0,2,2,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
325,,37,,154,166,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
326,,178,,2,2,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
327,,118,,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
328,,266,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
329,,80,,15,15,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
330,1217647137.0,65,540170295.0,285,316,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
331,,38,,286,296,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
332,,39,,223,240,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
333,960213536.0,77,769056349.0,189,198,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
334,,97,,478,503,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
335,,5,,619,630,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
336,,72,,7,7,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
337,,140,,6,6,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
338,,112,,4,8,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
339,,268,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
340,,119,,2,2,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
341,320140058.0,42,140357803.0,67,83,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
342,170284617.0,99,66576725.0,12,16,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
343,,4,,852,870,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
344,,32,,382,406,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
345,,61,,173,192,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
346,,92,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
347,23140000.0,181,12535791.0,3,3,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
348,23584557.0,21,12140305.0,7,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
349,22890000.0,111,4060928.0,2,2,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
350,45800000.0,118,7033740.0,3,3,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
351,,52,,6,6,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
352,,113,,9,13,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
353,,249,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
354,,34,,1,1,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
355,,3,,1,1,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
356,,310,,9,9,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
357,,22,,10,10,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
358,,65,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
359,,27,,369,388,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
360,,96,,116,151,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
361,,91,,114,133,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
362,,24,,3001,3071,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
363,,35,,1453,1481,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
364,,262,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
365,,95,,9,9,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
366,,103,,1,1,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
367,106281490.0,106,46274205.0,13,13,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
368,5350000.0,11,1459095.0,1,1,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
369,,39,,216,225,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
370,,14,,884,902,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
371,,107,,3,6,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
372,,286,,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
373,,49,,10,10,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
374,,227,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
