ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL,DAT_INC_DBO
608,1111118011,2788,NMN,NMN,2019-12-19 13:43:41.914
613,1721451909,2601,MTRVM S/M,"MTRVM S/M - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP",2019-12-19 13:43:41.914
629,667321230,3944,NMN,NMN,2019-12-19 13:43:41.914
644,931375617,3570,NMN,NMN,2019-12-19 13:43:41.914
645,931375617,5100,NMN,NMN,2019-12-19 13:43:41.914
659,6101057903,3995,NMN,NMN,2019-12-19 13:43:41.914
669,15722629707,2550,NMN,NMN,2019-12-19 13:43:41.914
670,2158616140,2550,NMN,NMN,2019-12-19 13:43:41.914
695,1286764697,3060,MMW JVNMNPJVRM,"MMW JVNMNPJVRM S.M - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP",2019-12-19 13:43:41.914
698,17133483779,1921,MMNPP PMN S.M.,MMNPP PMN S.M.,2019-12-19 13:43:41.914
703,1044064231,2856,NMN,NMN,2019-12-19 13:43:41.914
719,20797975457,2074,NMN,NMN,2019-12-19 13:43:41.914
720,18716065119,1751,NMN,NMN,2019-12-19 13:43:41.914
725,16645856680,2550,NMN,NMN,2019-12-19 13:43:41.914
754,17089666177,2720,NMN,NMN,2019-12-19 13:43:41.914
757,47037640,1751,NMN,NMN,2019-12-19 13:43:41.914
779,15463141809,1802,NMN,NMN,2019-12-19 13:43:41.914
782,17403304005,3111,NMN,NMN,2019-12-19 13:43:41.914
818,25354859253,2703,NMN,NMN,2019-12-19 13:43:41.914
819,821755027,2890,NMN,NMN,2019-12-19 13:43:41.914
842,23442278061,2006,NMN,NMN,2019-12-19 13:43:41.914
863,28174401920,3145,NMN,NMN,2019-12-19 13:43:41.914
873,7569221542,2108,NMN,NMN,2019-12-19 13:43:41.914
902,25368502076,2788,NMN,NMN,2019-12-19 13:43:41.914
924,1391408707,2958,"SPRPPRJJ - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP S/M","SPRPPRJJ - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP S/M",2019-12-19 13:43:41.914
937,1619107472,1819,NMN,NMN,2019-12-19 13:43:41.914
962,1437306242,2074,NMN,NMN,2019-12-19 13:43:41.914
1008,2671797197,2380,NMN,NMN,2019-12-19 13:43:41.914
1010,707561590,1819,NMN,NMN,2019-12-19 13:43:41.914
5,3448352913,1717,STMNJMRJ PVMRTJRJJ MMNK (MRMSVL) S.M.,STMNJMRJ PVMRTJRJJ MMNK (MRMSVL) S.M. - MMNPP JJ VNVJSTVMJNTP,2019-12-19 13:43:41.914
6,20264587520,2414,PJNTRML SVPRJJV N/NJ,PPPPJRMTVVM PJNTRML JJ PRJJVTP JP NPRTJ/NPRJJSTJ - PJNTRML SVPRJJV NPRTJ/NPRJJSTJ,2019-12-19 13:43:41.914
28,1338895384,2210,PJNTRMLPRJJV,PPPPJRMTVVM PJNTRML JJ PRJJVTP NPRPJSTJ MRMSVLJVRP LTJM,2019-12-19 13:43:41.914
39,9726944672,3213,MNJJS,MMNPP NMPVPNML JJ JJSJNVPLVVMJNTP JPPNPMVPP J SPPVML,2019-12-19 13:43:41.914
75,2087064942,2431,NMN,NMN,2019-12-19 13:43:41.914
79,844859421,2924,NMN,NMN,2019-12-19 13:43:41.914
88,1207979829,2210,NMN,NMN,2019-12-19 13:43:41.914
96,2700137982,2227,NMN,NMN,2019-12-19 13:43:41.914
111,17765603364,55743,NMN,NMN,2019-12-19 13:43:41.914
131,17765603364,468078,NMN,NMN,2019-12-19 13:43:41.914
150,2227510850,113322,NMN,NMN,2019-12-19 13:43:41.914
167,18006968072,1955,NMN,NMN,2019-12-19 13:43:41.914
177,5145249937,2210,NMN,NMN,2019-12-19 13:43:41.914
184,14743110447,2533,NMN,NMN,2019-12-19 13:43:41.914
192,16907404281,1700,NMN,NMN,2019-12-19 13:43:41.914
207,1043237113,2550,MMNPP PMRPVLL,MMNPP PMRPVLL S.M.,2019-12-19 13:43:41.914
223,1413744650,3196,NMN,NMN,2019-12-19 13:43:41.914
232,89307936,2159,NMN,NMN,2019-12-19 13:43:41.914
286,204583967,1819,NMN,NMN,2019-12-19 13:43:41.914
320,12390536292,1734,NMN,NMN,2019-12-19 13:43:41.914
362,15616957724,2465,NMN,NMN,2019-12-19 13:43:41.914
381,747785188,3383,NMN,NMN,2019-12-19 13:43:41.914
383,763529041,3009,NMN,NMN,2019-12-19 13:43:41.914
387,876672541,1955,NMN,NMN,2019-12-19 13:43:41.914
411,1313263685,3145,NMN,NMN,2019-12-19 13:43:41.914
421,2150251613,3366,NMN,NMN,2019-12-19 13:43:41.914
435,9643963235,2159,NMN,NMN,2019-12-19 13:43:41.914
447,628126183,3366,NMN,NMN,2019-12-19 13:43:41.914
450,4812139578,3060,NMN,NMN,2019-12-19 13:43:41.914
472,604921506,1853,NMN,NMN,2019-12-19 13:43:41.914
520,18874141183,3026,NMN,NMN,2019-12-19 13:43:41.914
521,1692596704,3060,NMN,NMN,2019-12-19 13:43:41.914
522,1701802221,2040,NMN,NMN,2019-12-19 13:43:41.914
586,3579251417,3060,NMN,NMN,2019-12-19 13:43:41.914
651,1151773375,2482,NMN,NMN,2019-12-19 13:43:41.914
672,2377798364,2108,NMN,NMN,2019-12-19 13:43:41.914
704,740537068,2380,NMN,NMN,2019-12-19 13:43:41.914
713,14187333391,1802,NMN,NMN,2019-12-19 13:43:41.914
715,15561563938,2839,NMN,NMN,2019-12-19 13:43:41.914
717,1056939470,1972,NMN,NMN,2019-12-19 13:43:41.914
718,1492714767,2125,NMN,NMN,2019-12-19 13:43:41.914
721,13067119683,2261,NMN,NMN,2019-12-19 13:43:41.914
738,16630631004,3111,NMN,NMN,2019-12-19 13:43:41.914
767,17139308285,2040,NMN,NMN,2019-12-19 13:43:41.914
772,15987297930,3196,NMN,NMN,2019-12-19 13:43:41.914
780,13479622966,2652,NMN,NMN,2019-12-19 13:43:41.914
788,300274179,2516,NMN,NMN,2019-12-19 13:43:41.914
793,5446599196,2584,NMN,NMN,2019-12-19 13:43:41.914
796,17585716181,2499,NMN,NMN,2019-12-19 13:43:41.914
797,7004047651,2244,NMN,NMN,2019-12-19 13:43:41.914
825,1412145613,2176,NMN,NMN,2019-12-19 13:43:41.914
830,341459569,17782,NMN,NMN,2019-12-19 13:43:41.914
831,341459569,15334,NMN,NMN,2019-12-19 13:43:41.914
843,23716867365,1751,NMN,NMN,2019-12-19 13:43:41.914
846,7631966043,2550,NMN,NMN,2019-12-19 13:43:41.914
857,2256774123,2040,NMN,NMN,2019-12-19 13:43:41.914
858,897695557,3230,NMN,NMN,2019-12-19 13:43:41.914
870,25368311625,3077,NMN,NMN,2019-12-19 13:43:41.914
879,9750229402,2380,NMN,NMN,2019-12-19 13:43:41.914
896,1083759826,3247,NMN,NMN,2019-12-19 13:43:41.914
912,22804298423,2499,NMN,NMN,2019-12-19 13:43:41.914
