ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ
208,19764421,1819
248,22783307775,1734
251,23397327868,2465
262,11151982286,3230
280,22791141987,1955
306,18854187178,3383
327,20563759164,2210
364,14273509723,1955
374,15497272709,2329
377,659545685,2193
423,10715023245,2720
433,18709605969,2244
434,10716039080,1734
439,20628365114,2057
443,508709938,2482
448,491199428,2193
462,697658716,3281
468,753222145,3009
494,16768414355,2550
535,19627685852,3264
603,464909965,1972
623,14258352540,3230
627,20149342990,2465
641,667321230,26469
728,12993145509,2550
737,254848581,2380
742,734553323,2210
745,320142351,2210
774,211351480,1887
823,23543756654,1785
832,26468637798,1853
904,22849372886,2873
988,313952838,2363
67,17555867972,1904
83,20882502177,2210
109,17765603364,29410
110,17765603364,45917
162,17612422382,2941
185,18010019623,2023
186,21143136538,1717
204,120503752,1717
228,23166315140,2771
229,18472180331,2907
281,22681676590,1700
15,157206752,2788
23,18013724892,1887
114,17765603364,132090
216,960589760,3111
260,12066761500,3077
342,19149903827,1887
360,332956033,1870
376,12042406603,1717
384,831429302,2108
389,988318154,2958
474,301278743,2346
488,959631725,1700
500,14181227110,1751
564,148210471,1853
568,21121730597,2363
577,74917759,1938
585,880741661,2040
666,26788270931,2108
668,14431808895,1887
702,18080421468,2839
785,415901923,1717
821,23437752899,2907
829,879310533,2125
837,25856415285,1717
908,25355059530,2057
911,22929857941,2601
989,347090734,3230
1018,725746048,2210
304,20561324050,2295
359,232149943,3366
388,986321742,2074
455,201898001,3162
464,651514664,2686
477,807685929,3366
584,10807270311,2839
600,452584982,3383
615,21163664786,2652
630,667321230,5321
633,667321230,11322
643,931375617,2210
684,695099621,2176
701,16484099912,2890
844,24557566342,2550
849,25369601432,2856
862,26153706984,2533
876,21129727227,1700
881,341459569,12580
900,25371072442,2397
906,20845119160,2210
927,16940144802,1836
936,887630554,1870
950,585439727,2397
1025,17085140437,1700
22,18187209858,2788
32,23617978212,1768
211,26654010490,1734
261,20589236826,2635
294,19937243,3162
347,12046452892,1700
385,848303723,1700
446,19207924623,2771
456,479068942,1768
475,675874474,3060
511,712833528,1955
542,12081645867,3060
581,896531465,2261
597,19932221625,1836
616,19912334090,2346
621,13715406217,2380
624,21418958138,3230
751,21919783,2295
775,15586599141,2210
781,19372177773,1921
783,822515386,3043
824,23850463973,2380
